key	symbol	imp_units	met_units	imp_displayType	met_displayType	defaultOrder	group	longDescription
curr_W	W	lb/ft	kg/m	1	1	1	Basic Information	Nominal weight.
curr_A	A	in.^2	mm^2	1	1	2	Basic Information	Cross-sectional area.
curr_d	d	in.	mm	1	1	3	Basic Information	"Overall depth of member, or width of shorter leg for angles, or width of the outstanding legs of long legs back-to-back double angles, or the width of the back-to-back legs of short legs back-to-back double angles."
curr_d_det	d_det	in.	mm	2	1	61	Detailing Dimensions	Detailing value of member depth.
curr_Ht	Ht	in.	mm	1	1	4	Basic Information	Overall depth of square or rectangular HSS.
curr_h	h	in.	mm	1	1	5	Basic Information	Depth of the flat wall of square or rectangular HSS.
curr_OD	OD	in.	mm	1	1	6	Basic Information	Outside diameter of round HSS or pipe.
curr_b_f	b_f	in.	mm	1	1	7	Basic Information	Flange width.
curr_b_fdet	b_fdet	in.	mm	2	1	62	Detailing Dimensions	Detailing value of flange width.
curr_B	B	in.	mm	1	1	8	Basic Information	Overall width of square or rectangular HSS (the same as B per the 2010 AISC Specification).
curr_b	b	in.	mm	1	1	9	Basic Information	"Width of the flat wall of square or rectangular HSS, or width of the longer leg for angles, or width of the back-to-back legs of long legs back-to-back double angles, or width of the outstanding legs of short legs back-to-back double angles."
curr_ID	ID	in.	mm	1	1	10	Basic Information	Inside diameter of round HSS or pipe.
curr_t_w	t_w	in.	mm	1	1	11	Basic Information	Web thickness.
curr_t_wdet	t_wdet	in.	mm	2	1	63	Detailing Dimensions	Detailing value of web thickness.
curr_t_wdet/2	t_wdet/2	in.	mm	2	1	64	Detailing Dimensions	Detailing value of web thickness divided by 2.
curr_t_f	t_f	in.	mm	1	1	12	Basic Information	Flange thickness.
curr_t_fdet	t_fdet	in.	mm	2	1	65	Detailing Dimensions	Detailing value of flange thickness.
curr_t	t	in.	mm	1	1	13	Basic Information	Thickness of angle leg.
curr_t_nom	t_nom	in.	mm	1	1	14	Basic Information	HSS and pipe nominal wall thickness.
curr_t_des	t_des	in.	mm	1	1	15	Basic Information	HSS and pipe design wall thickness.
curr_k_des	k_des	in.	mm	1	1	16	Basic Information	Design distance from outer face of flange to web toe of fillet.
curr_k_det	k_det	in.	mm	2	1	66	Detailing Dimensions	Detailing distance from outer face of flange to web toe of fillet.
curr_k_1	k_1	in.	mm	2	1	67	Detailing Dimensions	Detailing distance from center of web to flange toe of fillet.
curr_x	x	in.	mm	1	1	26	Flexural Properties	"Horizontal distance from designated member edge, as defined in the AISC Steel Construction Manual, to member centroidal axis."
curr_y	y	in.	mm	1	1	27	Flexural Properties	"Vertical distance from designated member edge, as defined in the AISC Steel Construction Manual, to member centroidal axis."
curr_e_o	e_o	in.	mm	1	1	53	Shear Properties	"Horizontal distance from designated member edge, as defined in the AISC Steel Construction Manual, to member shear center."
curr_x_p	x_p	in.	mm	1	1	28	Flexural Properties	"Horizontal distance from designated member edge, as defined in the AISC Steel Construction Manual, to member plastic neutral axis."
curr_y_p	y_p	in.	mm	1	1	29	Flexural Properties	"Vertical distance from designated member edge, as defined in the AISC Steel Construction Manual, to member plastic neutral axis."
curr_b_f/2t_f	b_f/2t_f			1	1	18	Compression Properties	Slenderness ratio.
curr_b/t	b/t			1	1	19	Compression Properties	Slenderness ratio for single angles.
curr_b/t_des	b/t_des			1	1	20	Compression Properties	Slenderness ratio for square or rectangular HSS.
curr_h/t_w	h/t_w			1	1	21	Compression Properties	Slenderness ratio.
curr_h/t_des	h/t_des			1	1	22	Compression Properties	Slenderness ratio for square or rectangular HSS.
curr_D/t	D/t			1	1	23	Compression Properties	"Slenderness ratio for round HSS and pipe, or tee shapes."
curr_I_x	I_x	in.^4	mm^4	1	1	30	Flexural Properties	Moment of inertia about the x-axis.
curr_Z_x	Z_x	in.^3	mm^3	1	1	31	Flexural Properties	Plastic section modulus about the x-axis.
curr_S_x	S_x	in.^3	mm^3	1	1	32	Flexural Properties	Elastic section modulus about the x-axis.
curr_r_x	r_x	in.	mm	1	1	33	Flexural Properties	Radius of gyration about the x-axis.
curr_I_y	I_y	in.^4	mm^4	1	1	34	Flexural Properties	Moment of inertia about the y-axis.
curr_Z_y	Z_y	in.^3	mm^3	1	1	35	Flexural Properties	Plastic section modulus about the y-axis.
curr_S_y	S_y	in.^3	mm^3	1	1	36	Flexural Properties	Elastic section modulus about the y-axis.
curr_r_y	r_y	in.	mm	1	1	37	Flexural Properties	Radius of gyration about the y-axis (with no separation for double angles back-to-back).
curr_I_z	I_z	in.^4	mm^4	1	1	54	Torsional Properties	Moment of inertia about the z-axis.
curr_r_z	r_z	in.	mm	1	1	55	Torsional Properties	Radius of gyration about the z-axis.
curr_S_z	S_z	in.^3	mm^3	1	1	56	Torsional Properties	Elastic section modulus about the z-axis.
curr_J	J	in.^4	mm^4	1	1	57	Torsional Properties	Torsional moment of inertia.
curr_C_w	C_w	in.^6	mm^6	1	1	58	Torsional Properties	Warping constant.
curr_C	C	in.^3	mm^3	1	1	59	Torsional Properties	HSS torsional constant.
curr_W_no	W_no	in.^2	mm^2	1	1	70	Design Guide 9	"Normalized warping function, as used in Design Guide 9."
curr_S_w1	S_w1	in.^4	mm^4	1	1	71	Design Guide 9	"Warping statical moment at point 1 on cross section, as used in Design Guide 9."
curr_S_w2	S_w2	in.^4	mm^4	1	1	72	Design Guide 9	"Warping statical moment at point 2 on cross section, as used in Design Guide 9."
curr_S_w3	S_w3	in.^4	mm^4	1	1	73	Design Guide 9	"Warping statical moment at point 3 on cross section, as used in Design Guide 9."
